# evidence/migration_checksums.tsv — CIRISPersist#840, FSD/MIGRATION_IMMUTABILITY.md
# A shipped migration's BYTES are its contract: refinery checksums the whole file
# text, so editing one (a comment included) bricks every node that already ran it.
# Rows are appended when a migration is ADDED. A row is never edited.
# dialect	version	name	checksum
sqlite	106	scores_read_surface	4725211733116375943
sqlite	107	composer_reference_index	4434164767942114993
sqlite	108	announced_peers	10551201205291791555
sqlite	109	consent_peer_set	14656411392111816586
sqlite	110	e4_authority_signatures	7495952062727147981
sqlite	111	signed_wire_index	9788565252376681578
sqlite	112	freshness_floor	2991199089645707443
sqlite	113	federation_attestations_additional_scrubs	12205629665496035052
sqlite	114	attested_subject_may_be_a_family	16949392455273115937
sqlite	115	tickets_status_proposed	9264384985857986508
sqlite	116	consensus_protocol_reverse_quorum	9907935564432869555
sqlite	117	withdraws_admission_rule_recovery_ceremony	5520004804361340357
sqlite	118	revocation_history_bound	6464793587511052317
sqlite	123	revocation_local_admission_instant	7742409322314642539
sqlite	124	accord_proposal_payload_index	2274283408220251602
sqlite	126	key_record_local_admission_instant	12488794998453767168
sqlite	127	scrub_treatment_columns	18047682958036144908
sqlite	128	trace_events_admission_instant	251743889691087837
sqlite	129	key_grant_scope_epoch_addressing	11673627651389408288
sqlite	130	serve_cursor_local_admission_instants	4688793533239951177
sqlite	131	key_record_local_mutation_instant	12383621791638365962
sqlite	132	ledgers	5077810027390916434
sqlite	133	registry_key_escrows	7492200578112040277
sqlite	134	known_wire_hashes	9861997346783160460
sqlite	135	trace_thought_signatures	9731998311785063219
sqlite	136	tasks_status_rejected	11991163640470322829
sqlite	137	dimension_seek_index	6454820615786018674
sqlite	138	community_dek_key_state_and_epoch_seek	8621010130497403066
sqlite	139	blob_row_tier_and_destroyable_dek	832886212238667442
sqlite	140	blob_epoch_binding_evicted_at	12989038997231797850
sqlite	141	admitted_at_not_null	12863439623463368416
sqlite	142	stream_chunk_plaintext_size	13715119645802401570
sqlite	143	federation_streams	13771356631574696563
postgres	1	trace_events	14517195475708850296
postgres	3	scrub_envelope	6190992317023798699
postgres	4	federation_directory	3144787525881209614
postgres	5	readonly_role	6019958894331258137
postgres	6	deployment_profile	15640409610977454387
postgres	7	edge_outbound_queue	9449287707588792041
postgres	8	lens_derived_schemas	7365360081562550340
postgres	9	pipeline_columns	5837068816278362049
postgres	10	cirislens_secrets	14327167504878034699
postgres	11	cirisnode_consensus	8638819578074640294
postgres	12	cirisnode_promotion_attestations	12854839377856853031
postgres	13	cirisgraph_nodes_edges	282978063705886063
postgres	14	cirislens_audit_log	6238053887201979647
postgres	15	cirisgraph_telemetry	13333986785360823074
postgres	16	cirislens_incident_records	15412771179442507332
postgres	17	atomic_claim_columns	5290354993646915811
postgres	18	audit_action_type_check	9610943638633097243
postgres	19	telemetry_consolidation_level	14960885259993350548
postgres	20	federation_keys_trust_hierarchy	4586701353962142637
postgres	21	federation_trust_grants_and_merkle	330001643209193262
postgres	22	cirislens_incident_records_forensic_extension	2073496785509907545
postgres	24	cirislens_tasks	15842724611281018753
postgres	25	cirislens_thoughts	1839152157072308113
postgres	26	cirislens_service_correlations	13968528931284283691
postgres	27	cirislens_scheduled_tasks	10348827755714235236
postgres	28	cirislens_tickets	13085525927815479817
postgres	29	cirislens_deferral_reports	6398846377717894838
postgres	30	cirislens_maintenance_locks	5343565274984406618
postgres	31	cirislens_creation_ceremonies	6273643332887894051
postgres	32	cirislens_continuity_awareness	15012420032878292929
postgres	33	cirislens_feedback_mappings	10310949201017313628
postgres	34	cirislens_wa_cert	9051519027428326789
postgres	35	cirislens_thoughts_cascade	18168103767649971070
postgres	36	cirislens_tasks_correlation_unique	16613921408590262564
postgres	37	cirislens_service_token_revocation	49654915365222554
postgres	38	cirislens_identity_sequences	4525701345955043486
postgres	39	cirislens_occurrence_registry	10162527047103348395
postgres	41	trace_events_analytics_indexes	10832132391367679351
postgres	42	trace_events_analytics_indexes	9510794172619535387
postgres	43	master_key_single_active	11584301264774927250
postgres	44	trace_events_verification_source	18401334508828961759
postgres	45	federation_trust_grants_unique_tenant_chain	8417911563776090173
postgres	46	federation_announcement	3934695976234644370
postgres	47	federation_blobs	8980561596209626115
postgres	48	federation_keys_attestation_evidence	9490712811398950329
postgres	49	audit_archives	15823152947229621998
postgres	50	goals	2057515764872849701
postgres	51	federation_peer_metadata	11777174800319703253
postgres	52	blackhole_rules	3686678596768435838
postgres	53	federation_blobs_access_tracking	541495125549687251
postgres	54	media_sharing	15910145131057045018
postgres	55	ceg_06_subject_key_ids	11106910192151461406
postgres	56	ceg_06_cohort_scope_and_consent_record	500964221044646746
postgres	57	peer_metadata_cohort_scope_index	8656828706171425798
postgres	58	federation_revocations_verify_coord_r1_q1	7724810770747891947
postgres	59	ceg_07_identity_occurrence_and_family	2876508043055173109
postgres	60	v4_0_communities_and_das_indexes	2108025618790717020
postgres	61	federation_blobs_chunk_dag_storage_kind	12424900434097684687
postgres	62	federation_stream_chunks	9454932846476257362
postgres	63	federation_stream_sth	807771108316927049
postgres	64	key_grant_stream_epoch_addressing	13226029895478783023
postgres	65	federation_stream_delivery_receipts	4452611229587563052
postgres	66	federation_attestations_tier	3667886073911816287
postgres	67	ceg_11_7_membership_revocations	9801624640023469392
postgres	68	ceg_08_location_proofs	9117730374305545132
postgres	69	ceg_018_occurrence_encryption_pubkeys	12917123317312889027
postgres	70	ceg_018_at_rest_blob_key_grants	15706685101112936341
postgres	71	ceg_rc2_operational_data	1635281403998838873
postgres	72	ceg_rc2_partner_record_steward_signatures	639722897457509523
postgres	73	ceg_56882_content_kem_identity	1039966207511538537
postgres	74	shared_instance_leases	4923516972157004664
postgres	75	hard_case_events	311292305523516898
postgres	76	retention_policies	1916419772652029670
postgres	77	ceg_11_7_membership_rekey_index	13145980226162099909
postgres	78	ceg_56888_transport_destination	1857202094652872471
postgres	79	trace_events_factor_rollup	12155711451735373527
postgres	80	detection_events_erasure_tombstone	11155055508070467620
postgres	81	trace_events_factor_rollup_plain	13872039130221260925
postgres	82	trace_events_dehypertable	15796871799380236835
postgres	83	trace_events_hybrid_ml_dsa_65	479740355422926272
postgres	84	fountain_content	18344735875842331248
postgres	85	wholeness_witness_corpus	15181273580942809300
postgres	86	content_aggregation	12155633309776039059
postgres	87	cc_44322_community_dek_cascade	6212905583741492535
postgres	88	federation_scope_blobs	14207590808435589158
postgres	89	group_supersede_versioning	10151547094491235857
postgres	90	audit_action_type_lensaudit	5284303010404245702
postgres	91	accord_live_quorum	13864105645833155450
postgres	92	federation_keys_consent_role	1163808848763405801
postgres	93	storage_budget_install	12880561364052199210
postgres	94	trace_events_dedup_shard	17963209801860444432
postgres	95	canonical_role_withdrawal	4522468057502068947
postgres	96	federation_keys_additional_scrubs	4289970069403918596
postgres	97	family_key_id_not_a_key	1685403476504014964
postgres	98	transport_destination_ed25519	361887443693795664
postgres	99	transport_destination_x25519	13790896986545776179
postgres	100	transport_destination_provenance	8227853686059158824
postgres	101	transport_destination_drop_fk	8998619382416770289
postgres	102	signed_identity_occurrence	2742872244988874851
postgres	103	signed_identity_occurrence_revocation	7945283050832985018
postgres	104	role_withdrawals	2799037015948115930
postgres	105	transport_route_table	6735656662906650606
postgres	106	scores_read_surface	9462911862247707818
postgres	107	composer_reference_index	3142756520374353323
postgres	108	announced_peers	5350341010209141224
postgres	109	consent_peer_set	1440203826358694933
postgres	110	e4_authority_signatures	5722678177665446824
postgres	111	signed_wire_index	14713408936058281472
postgres	112	freshness_floor	17023922589330423491
postgres	113	federation_attestations_additional_scrubs	158327386681616966
postgres	114	attested_subject_may_be_a_family	15756201565596353984
postgres	115	tickets_status_proposed	6253399438317635669
postgres	116	consensus_protocol_reverse_quorum	13608521915876319789
postgres	117	withdraws_admission_rule_recovery_ceremony	5164255553082591192
postgres	118	revocation_history_bound	5923892453063725135
postgres	120	consensus_protocol_steward_escalation	16473954338253984006
postgres	121	attestation_id_text_genesis_symbolic_ids	16470548875332079669
postgres	122	signed_envelopes_are_text_not_jsonb	4135350373767246099
postgres	123	revocation_local_admission_instant	11871268987081733186
postgres	124	accord_proposal_payload_index	15289063748257152965
postgres	125	revocation_id_text_symbolic_ids	15774298470031426621
postgres	126	key_record_local_admission_instant	11161018963473404667
postgres	127	scrub_treatment_columns	13585539854633428739
postgres	128	trace_events_admission_instant	17929598102469732467
postgres	129	key_grant_scope_epoch_addressing	15450009769322652004
postgres	130	serve_cursor_local_admission_instants	17355921084064054275
postgres	131	key_record_local_mutation_instant	6525890275907973407
postgres	132	ledgers	2051343812585844311
postgres	133	registry_key_escrows	15455559807713658143
postgres	134	known_wire_hashes	13139509185552519862
postgres	135	trace_thought_signatures	15000462947280611511
postgres	136	tasks_status_rejected	13088402545142021990
postgres	137	dimension_seek_index	15199958912274280351
postgres	138	community_dek_key_state_and_epoch_seek	6458183571851906905
postgres	139	blob_row_tier_and_destroyable_dek	12923166539338265531
postgres	140	blob_epoch_binding_evicted_at	10761959340563611754
postgres	141	admitted_at_not_null	11407500967395387812
postgres	142	stream_chunk_plaintext_size	6302461759728476371
postgres	143	federation_streams	15129467152383940322
